OR,OT
000102-05,"Ordinance Regulating the Purchase,  Sale, Trade-in, Pawning, Repair, Servicing and Maintenance of either Brand-New, Used, Pre-owned and Reconditioned Mobile Phone Units  in  Davao  City and for Other Purposes"
000518-92,"An Ordinance  amending Ordinance No. 132, Series of 1989 otherwise known as an Ordinance regulating the establishment, classification, administration and operation of government owned/operated public markets in the City of Davao, ""otherwise known as the Market Code of Davao City"", embodied under Ordinance No. 230, otherwise known as the Revised Local Tax Ordinances of Davao City."
000094-91,"An Ordinance amending Ordinance No. 132, Series of 1989, otherwise known as ""MARKET CODE OF DAVAO CITY""."
002017-94,"Enacting the ""DAVAO CITY INVESTMENT INCENTIVE CODE OF 1994"""
000173-05,"An Ordinance to enhance consumer protection and prevent the spread of paralytic shellfish poisoning or ""Red Tide"" through the accreditation  of bonafide traders/distributors, providing guidelines for its implementation and penalties for violation thereof"
000060-08,"An ordinance requiring all private establishments operating and/or doing business within the territorial jurisdiction of the City of Davao to  provide all their female seats and allow them to use the same during the performance of their work and providing penalties for violations thereof, and for other purposes"
000087-16,"An ordinance authorizing the City Mayor to utilize a portion of the City Government of Davao`s  Five Percent (5% ) Disaster Risk Reduction and Management Fund (Calamity Fund) for Calendar Year 2016, in the total amount of Five Million Pesos  (Php5,000,000.00) to extend assistance to the victims of super typhoon Lawin that hit the provinces of Cagayan, Ilocos Norte, La Union, Apayao, Mountain Province and Kalinga"
000090-16,"An Ordinance granting legislative authority to the City Mayor to enter into and sign, for and in behalf of the City Government of Davao, the amended Memorandum of Agreement (MOA) between the City Government of Davao (CGD) and Land Bank of the Philippines (LBP) relative to the livelihood/salary loan facility for City Government Employees"
000093-16,"Granting authority to the City Mayor to sign, for and in behalf of the City Government of Davao, the agreement/minutes of meeting to be entered into by and among the Japan International Cooperation agency (JICA), the City Government of Davao and Biomass Japan, Inc. relative to the establishment of used cooking oil collection system and biodiesel plant"
000105-86,"Amending Section 4 of Ordinance No. 98, Series of 1956, the same to read as follows: ""Sec. 4.- Violations of this Ord. shall be penalized by a fine of P50.00 for the first offense and a fine of not less than P100.00 for each succeding offenses, but not more than P200.00, at the discretion of the court"""
000056-08,An ordinance establishing the Overseas Filipino Workers (OFW) Center of Davao City under the City Mayor`s Office and for other purposes
000121-86,"An Ordinance Amending Ordinance No. 778, series of 1973, the yellow boxes painted on City Streets and National Highways in the City of Davao, designed by the Davao City Urban Transport Cum Land Use Study (DACUTLUS), are hereby designated as Loading and Unloading areas for public utility vehicles"
000014-87,"Adopting the Proposed Legislative Districts of the City of Davao and the Map designating the boundaries thereon as submitted by the Commission on Elections, Davao City and approved by COMELEC, Manila, for purposes of the May 11, 1987 Congressional elections"
000110-86,"Amending Ordinance No. 63, series of 1985, is hereby to read as follows: ""An Ordinance establishing guidelines, standards, rules and regulations for the management and operation and establishment of the Davao City Overland Transport Terminal at New Matina, City of Davao, declared and authorized under Resolution No. 7, and Ordinance No. 1, Series of 1984, enacted on February 16, 1984"""
000115-86,"Requiring persons and/or business establishements such as restaurants, carenderias, food stalls and other related outlets serving barbecued meat such as pork, beef, fish or any food preparation needing the use of bamboo sticks or skewers to remove the pointed sticks completely or cut their sharp ends before serving to customers, and providing penalties for violations thereof"
004603-97A,"An Ordinance amending Article 3, Article 13, Rule IV, and Article 20, Rule V of Ordinance No. 2269, series of 1994, otherwise known as the Rules and Regulations implementing the Davao City Investment Code of 1994, to include the establishment of Branches of Foreign Banks, Telecommunications, Environmental Protection & Enhancement Projects; and the establishment of Medical, Educational, Training & Sports Facilities as additional preferred investment areas; and the new registration fees"
000194-04,Ordinance Creating the Davao City Culture and Arts Council
004603-97,"An ordinance amending section 2, chapter 1 and section 13,  chapter V, of Ordinance No. 2017, series of 1994, otherwise known as the Davao City Investment Code of 1994, and for other purposes"
000195-04,"Amending Ordinance No. 108, series of 2000, otherwise known as the ""Public Utility Rerouting Scheme for the City of Davao"""
003996-96,Ordinance approving the Comprehensive Development Plan of the City of Davao for CY 1996-2021
004121-96,An Ordinance constituting and prescibing a color for school vehicles for the protection and sefety of the riding children.
000227-04,"Prescribing guidelines and regulations on the operation and services of Internet Cafe in Davao City and for other purposes, as amended"
004122-96,Approving the REAL PROPERTY TAX CODE OF DAVAO CITY
002269-94A,"Ordinance approving the Rules and Regulations Implementing the Davao City Investment Incentive Code of 1994, and for other purposes"
002374-94,Approving the Organizational Structure and Staffing Pattern of the City Government of Davao
001692-94,"Ordinance Creating the City Franchising and Regulatory Board, prescribing its functions and procedures for franchising and regulating the operation of Motorized-Tricycles for Hire and the collection of fees and charges therefor, otherwise known as the ""DAVAO CITY MOTORCYCLE-FOR-HIRE FRANCHISING AND REGULATORY ORDINANCE OF 1993"""
001627-94,"AN ORDINANCE REGULATING THE OPERATION OF BUSINESS ESTABLISHMENTS SELLING LIQUORS, COCONUT WINE AND OTHER NATURE WINE AND ALCOHOLIC BEVERAGES IN THE CITY OF DAVAO"
000052-90,"An Ordinance Legalizing the Operation of Pedicabs (Pedal-Operated Tricycles) otherwise known as ""Trisikads"" within the City of Davao, and providing penalty for violation thereof"
000050-87,"An Ordinance prohibiting the showing of pornographic films and such other films disapproved for public exhibition and regulating admission to moviehouses, this ordinance shall be known as the ""Anti-Pornography"" ordinance of the City of Davao."
000178-03,"Declaring Ramon Magsaysay Avenue (formerly Uyanguren Street), Leon Garcia Street,  Monteverde Avenue, Sta. Ana Avenue and the whole area bounded by these streets as the China Town of Davao City"
000179-03,"Creating and constituting the Davao City China Town Development Council, defining its powers and functions and for other purposes"
005003-97,"An ordinance promulgating the rules/regulations and providing for the fees in the licensing, construction, establishment, operation and maintenance of cockpits and cockfighting in the City of Davao and prescribing the penalties for the violations (COCKFIGHTING CODE OF DAVAO CITY)"
002491-94,"Ordinance approving the "" DAVAO CITY CHILDREN`S WELFARE CODE """
000069-05,"Ordinance Requiring schools in all levels, both private and public, to post their government recognition, TESDA Program registration permits, accreditation certificates and such other equivalent documents and their corresponding accredited programs and courses in the Registrar`s Office and conspicuous places within the school campus"
000116-88,"Regulating Fishing and/or Fisheries in the City of Davao  otherwise known as the ""BASIC FISHERY ORDINANCE OF DAVAO CITY"""
000132-89,"An Ordinance regulating the establishment, classification, administration and operation of government owned/operated public markets in the City of Davao, otherwise known as the ""Market Code of Davao City""."
000537-16,"An Ordinance granting legislative authority to the City Mayor to enter into and sign, for and in behalf of the City Government of Davao, the Memorandum of Agreement to be entered into by and among the City Government of Davao, Private Companies, other government and Non-Government Agencies, for the construction of the special Drug Education (SDEC) building of the City Anti-Drug Abuse Council"
